Date,Month,Code,Description,Brand,Class,Qty,Unit Cost,Total,Vendor ID
2024-01-15,2024-01,SAM-101,Samsung 55" 4K Smart TV,Samsung,TV,25,599.99,14999.75,V001
2024-01-20,2024-01,LG-202,LG 65" OLED TV,LG,TV,18,1299.99,23399.82,V002
2024-02-10,2024-02,SON-303,Sony Soundbar 300W,Sony,Audio,45,249.99,11249.55,V003
2024-02-14,2024-02,APP-404,Apple iPhone 15,Apple,Mobile,60,999.99,59999.40,V001
2024-03-05,2024-03,DEL-505,Dell XPS 15,Dell,Laptop,30,1499.99,44999.70,V004
2024-03-18,2024-03,JBL-606,JBL Bluetooth Speaker,JBL,Audio,80,79.99,6399.20,V005
2024-04-02,2024-04,HP-707,HP Spectre Laptop,HP,Laptop,22,1299.99,28599.78,V004
2024-04-15,2024-04,LEN-808,Lenovo ThinkPad X1,Lenovo,Laptop,35,1399.99,48999.65,V003
2024-05-01,2024-05,SAM-909,Samsung Galaxy Tab S9,Samsung,Tablet,40,649.99,25999.60,V001
2024-05-20,2024-05,BOE-110,Bose Wireless Earbuds,Bose,Audio,55,199.99,10999.45,V002
